Bug ID,Bug Summary,Bug Description,Affected Version,Fix Version
CASSANDRA-19427,Fix concurrent access of ClientWarn causing AIOBE for SELECT WHERE IN queries with multiple coordinator-local partitions,"On one of our clusters, we noticed rare but periodic ArrayIndexOutOfBoundsExceptions:

 
{code:java}
message=""Uncaught exception on thread Thread[ReadStage-3,5,main]""
exception=""java.lang.RuntimeException: java.lang.ArrayIndexOutOfBoundsException
at org.apache.cassandra.service.StorageProxy$DroppableRunnable.run(StorageProxy.java:2579)
at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
at org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$FutureTask.run(AbstractLocalAwareExecutorService.java:162)
at org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$LocalSessionFutureTask.run(AbstractLocalAwareExecutorService.java:134)
at org.apache.cassandra.concurrent.SEPWorker.run(SEPWorker.java:119)
at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
at java.base/java.lang.Thread.run(Thread.java:829)
Caused by: java.lang.ArrayIndexOutOfBoundsException""{code}
 

 

The error was in a Runnable, so the stacktrace didn't directly indicate where the error was coming from. We enabled JFR to log the underlying exception that was thrown:
 
{code:java}
message=""Uncaught exception on thread Thread[ReadStage-2,5,main]"" exception=""java.lang.RuntimeException: java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 0
at org.apache.cassandra.service.StorageProxy$DroppableRunnable.run(StorageProxy.java:2579)
at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
at org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$FutureTask.run(AbstractLocalAwareExecutorService.java:162)
at org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$LocalSessionFutureTask.run(AbstractLocalAwareExecutorService.java:134)
at org.apache.cassandra.concurrent.SEPWorker.run(SEPWorker.java:119)
at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
at java.base/java.lang.Thread.run(Thread.java:829)
Caused by: java.lang.ArrayIndexOutOfBoundsException: Index 1 out of bounds for length 0
at java.base/java.util.ArrayList.add(ArrayList.java:487)
at java.base/java.util.ArrayList.add(ArrayList.java:499)
at org.apache.cassandra.service.ClientWarn$State.add(ClientWarn.java:84)
at org.apache.cassandra.service.ClientWarn$State.access$000(ClientWarn.java:77)
at org.apache.cassandra.service.ClientWarn.warn(ClientWarn.java:51)
at org.apache.cassandra.db.ReadCommand$1MetricRecording.onClose(ReadCommand.java:596)
at org.apache.cassandra.db.transform.BasePartitions.runOnClose(BasePartitions.java:70)
at org.apache.cassandra.db.transform.BaseIterator.close(BaseIterator.java:95)
at org.apache.cassandra.service.StorageProxy$LocalReadRunnable.runMayThrow(StorageProxy.java:2260)
at org.apache.cassandra.service.StorageProxy$DroppableRunnable.run(StorageProxy.java:2575)
... 6 more""{code}
 
 

An AIOBE on ArrayList.add(E) should only be possible when multiple threads attempt to call the method at the same time.

 

This was seen while executing a SELECT WHERE IN query with multiple partition keys. This exception could happen when multiple local reads are dispatched by the coordinator in org.apache.cassandra.service.reads.AbstractReadExecutor#makeRequests. In this case, multiple local reads exceed the tombstone warning threshold, so multiple tombstone warnings are added to the same ClientWarn.State reference.  Currently, org.apache.cassandra.service.ClientWarn.State#warnings is an ArrayList, which isn't safe for concurrent modification, causing the AIOBE to be thrown.

 

I have a patch available for this, and I'm preparing it now. The patch is simple - it just changes org.apache.cassandra.service.ClientWarn.State#warnings to a thread-safe CopyOnWriteArrayList. I also have a jvm-dtest that demonstrates the issue but doesn't need to be merged - it shows how a SELECT WHERE IN query with local reads that add client warnings can add to the same ClientWarn.State from different threads. I'll push that in a separate branch just for demonstration purposes.

 

Demonstration branch: [https://github.com/apache/cassandra/compare/trunk...aratno:cassandra:CASSANDRA-19427-aiobe-clientwarn-demo]

Fix branch: [https://github.com/apache/cassandra/compare/trunk...aratno:cassandra:CASSANDRA-19427-aiobe-clientwarn-fix] (PR linked below)

 

This appears to have been an issue since at least 3.11, that was the earliest release I checked.",N/A,"3.11.17, 4.0.13, 4.1.5, 5.0-rc1, 5.0, 5.1-alpha1"
CASSANDRA-19422,Fix Git repository links,"I am creating an issue based on this PR (1)

(1) https://github.com/apache/cassandra/pull/3120",N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.5, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19409,Test Failure: dtest-upgrade.upgrade_tests.upgrade_through_versions_test.*,"Failing in Jenkins:
 * [dtest-upgrade-novnode-large.upgrade_tests.upgrade_through_versions_test.TestProtoV4Upgrade_AllVersions_EndsAt_Trunk_HEAD.test_parallel_upgrade_with_internode_ssl|https://ci-cassandra.apache.org/job/Cassandra-5.0/170/testReport/junit/dtest-upgrade-novnode-large.upgrade_tests.upgrade_through_versions_test/TestProtoV4Upgrade_AllVersions_EndsAt_Trunk_HEAD/test_parallel_upgrade_with_internode_ssl/]
 * [dtest-upgrade-novnode-large.upgrade_tests.upgrade_through_versions_test.TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD.test_parallel_upgrade_with_internode_ssl|https://ci-cassandra.apache.org/job/Cassandra-5.0/170/testReport/junit/dtest-upgrade-novnode-large.upgrade_tests.upgrade_through_versions_test/TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD/test_parallel_upgrade_with_internode_ssl/]
 * [dtest-upgrade-novnode.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_EndsAt_Trunk_HEAD.test_parallel_upgrade|https://ci-cassandra.apache.org/job/Cassandra-5.0/170/testReport/junit/dtest-upgrade-novnode.upgrade_tests.upgrade_through_versions_test/TestProtoV3Upgrade_AllVersions_EndsAt_Trunk_HEAD/test_parallel_upgrade/]
 * [dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD.test_parallel_upgrade|https://ci-cassandra.apache.org/job/Cassandra-5.0/170/testReport/junit/dtest-upgrade.upgrade_tests.upgrade_through_versions_test/TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD/test_parallel_upgrade/]
 * [dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD.test_parallel_upgrade_with_internode_ssl|https://ci-cassandra.apache.org/job/Cassandra-5.0/170/testReport/junit/dtest-upgrade.upgrade_tests.upgrade_through_versions_test/TestProtoV4Upgrade_AllVersions_RandomPartitioner_EndsAt_Trunk_HEAD/test_parallel_upgrade_with_internode_ssl/]",N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.5, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19350,Add cli log level to circle config,"We try to set the [log cli level|https://github.com/apache/cassandra/blob/trunk/.circleci/config_template.yml#L3538] so that dtest logging is captured to stdout, but we don't do it [everywhere|https://github.com/apache/cassandra/blob/trunk/.circleci/config_template.yml#L3063] so we miss some logs.",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19326,Switch memtable_allocation_type from offheap_objects to heap_buffers in test/conf/cassandra.yaml,"By default we use heap_buffers in cassandra.yaml, but the unit tests were switched for testing to offheap_objects. This needs to be reverted. We should be testing with heap_buffers on all branches, we do it only in cassandra-3.0 at the moment. ",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19291,Fix NEWS.txt Compact Storage section,"In CASSANDRA-16733 we added a note that Compact Storage will no longer be supported in 5.0. The idea was that drop_compact_storage would be pulled out of the experimental version. 
This did not happen, and compact storage is still around. 
I think this will not be handled at least until 6.0 (major breaking changes) and it is good to be corrected. More and more people are upgrading to 4.0+ and they are confused. ",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19146,Upgrade owasp to 9.0.x,"From https://github.com/jeremylong/DependencyCheck :

{quote}
Upgrading to 9.0.0 or later is mandatory; previous versions of dependency-check utilize the NVD data feeds which will be deprecated on Dec 15th, 2023. 
{quote}",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19142,logback-core-1.2.12.jar vulnerability: CVE-2023-6378,"https://nvd.nist.gov/vuln/detail/CVE-2023-6378

{quote}
A serialization vulnerability in logback receiver component part of logback version 1.4.11 allows an attacker to mount a Denial-Of-Service attack by sending poisoned data. 
{quote}",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-rc1, 5.0"
CASSANDRA-19111,Add j17|j11_dtests_repeat and j17|j11_dtests_vnode_repeat among circle jobs,"j17_dtests_repeat and j17_dtests_vnode_repeat do exist in circleci but they are not referenced in workflows. I basically can not run multiplexer on dtests in circle.

Same happens for their j11 counterparts.

Same applies for 3.0 where j8_dtests_repeat is, again, not referenced in workflows. I guess it will be same for all branches we have.",N/A,"3.0.x, 3.11.x, 4.0.x, 4.1.x, 5.0-alpha2, 5.0, 5.x"
CASSANDRA-19110,"apt-key deprecation, replace with gpg --dearmor in the docs.","the command `apt-key` is deprecated and soon to be removed, especially on Ubuntu.
the directory `/usr/share/keyrings` for shared keys are also being removed.

I suggest to convert the docs from
{code:java}
curl https://downloads.apache.org/cassandra/KEYS | sudo apt-key add - {code}
to a simpler command:
{code:java}
curl https://downloads.apache.org/cassandra/KEYS | sudo gpg --dearmor -o /etc/apt/keyrings/cassandra-archive-keyring.gpg {code}
The path `/etc/apt/keyrings` doesn't exists by default on Ubuntu 20.04 but it does on 22.04.



I also suggest to add the source.list.d text from 
{code:java}
$ echo ""deb https://debian.cassandra.apache.org 42x main"" | sudo tee -a /etc/apt/sources.list.d/cassandra.sources.list

deb https://debian.cassandra.apache.org 42x main{code}
to 
{code:java}
$ echo ""deb [signed-by=/etc/apt/keyrings/cassandra-archive-keyring.gpg] https://debian.cassandra.apache.org 42x main"" | sudo tee -a /etc/apt/sources.list.d/cassandra.sources.list

deb [signed-by=/etc/apt/keyrings/cassandra-archive-keyring.gpg] https://debian.cassandra.apache.org 42x main {code}
I have made a [PR|https://github.com/apache/cassandra/pull/2936]

I have tested the gpg --dearmor on a VM with Ubuntu 22.04 myself recently and it works just fine.",N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.5, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19020,cqlsh should allow failure to import cqlshlib.serverversion,"cqlshlib.serverversion is created by ant, recording the server's version so that python can see if it matches cqlsh later.  This can make work for other things that need to be aware of it like CASSANDRA-18594, so we should relax it a bit since this really has no value outside of warning humans they have a mismatch.",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-beta1, 5.1"
CASSANDRA-18986,SHA1 keys prevent installation on RHEL 9,"Due to the presence of SHA1 keys they have to be explicitly allowed before C* can be installed on RHEL 9-based systems: 

{quote}
Importing GPG key 0xF2833C93:
 Userid     : ""Eric Evans <eevans@sym-link.com>""
 Fingerprint: CEC8 6BB4 A0BA 9D0F 9039 7CAE F835 8FA2 F283 3C93
 From       : https://downloads.apache.org/cassandra/KEYS
Is this ok [y/N]: y
Key imported successfully
Importing GPG key 0x8D77295D:
 Userid     : ""Eric Evans <eevans@sym-link.com>""
 Fingerprint: C496 5EE9 E301 5D19 2CCC F2B6 F758 CE31 8D77 295D
 From       : https://downloads.apache.org/cassandra/KEYS
Is this ok [y/N]: y
Key imported successfully
Importing GPG key 0x2B5C1B00:
 Userid     : ""Sylvain Lebresne (pcmanus) <sylvain@datastax.com>""
 Fingerprint: 5AED 1BF3 78E9 A19D ADE1 BCB3 4BD7 36A8 2B5C 1B00
 From       : https://downloads.apache.org/cassandra/KEYS
Is this ok [y/N]: y
warning: Signature not supported. Hash algorithm SHA1 not available.
Key import failed (code 2). Failing package is: cassandra-4.0.11-1.noarch
 GPG Keys are configured as: https://downloads.apache.org/cassandra/KEYS
The downloaded packages were saved in cache until the next successful transaction.
You can remove cached packages by executing 'yum clean packages'.
Error: GPG check FAILED
{quote}

This can be worked around by allowing SHA1:

{quote}
update-crypto-policies --set DEFAULT:SHA1
{quote}

https://www.redhat.com/en/blog/rhel-security-sha-1-package-signatures-distrusted-rhel-9
",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0, 5.1"
CASSANDRA-18943,http/2 vulnerability: CVE-2023-44487,"https://nvd.nist.gov/vuln/detail/CVE-2023-44487

Basically anything using http/2 is covered by this, but we don't use it.",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0, 5.1"
CASSANDRA-18935,Fix nodetool enable/disablebinary to correctly set rpc," 
{code:java}
        if ((nativeFlag != null && Boolean.parseBoolean(nativeFlag)) || (nativeFlag == null && DatabaseDescriptor.startNativeTransport()))
        {
            startNativeTransport();
            StorageService.instance.setRpcReady(true);
        } {code}
The startup code here only sets RpcReady if native transport is enabled. If you call 
{code:java}
nodetool enablebinary{code}
then this flag doesn't get set.

But with the change from CASSANDRA-13043 it requires RpcReady set to true in order to get a leader for the counter update.

Not sure what the correct fix is here, seems to only really use this flag for counters. So thinking perhaps the fix is to just move this outside the if condition.

 ",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-beta1, 5.0, 5.1"
CASSANDRA-18910,Debian packaging broken by quilt?,"Something has changed in the docker image that is breaking the debian packaging in all versions, similar to this:

{quote}
dpkg-buildpackage: info: source package cassandra
dpkg-buildpackage: info: source version 4.1.4-20231004git486acc68f1
dpkg-buildpackage: info: source distribution unstable
dpkg-buildpackage: info: source changed by build <build@1518e06a5507>
dpkg-buildpackage: info: host architecture amd64
 dpkg-source --tar-ignore=.git --before-build .
 fakeroot debian/rules clean
QUILT_PATCHES=debian/patches \
        quilt --quiltrc /dev/null pop -a -R || test $? = 1
No patch removed
make: *** [/usr/share/quilt/quilt.make:23: unpatch] Error 1
dpkg-buildpackage: error: fakeroot debian/rules clean subprocess returned exit status 2
{quote}",N/A,"3.0.x, 3.11.x, 4.0.x, 4.1.x, 5.0, 5.x"
CASSANDRA-18886,snappy-java-1.1.10.1 vulnerability: CVE-2023-43642,"https://nvd.nist.gov/vuln/detail/CVE-2023-43642

Another DoS which is probably not a huge deal, but we can upgrade.",N/A,"3.0.x, 3.11.x, 4.0.x, 4.1.x, 5.0, 5.x"
CASSANDRA-18878,Upgrade snappy java library,"The snappy java library needs to be updated to fix the latest CVEs.
[https://github.com/xerial/snappy-java/security/advisories/GHSA-55g7-9cwv-5qfv]",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0, 5.1"
CASSANDRA-18854,Gossip never recovers from a single failed echo,"As discovered on CASSANDRA-18792, if an initial echo request is lost, the node will never be marked up.  This appears to be a regression caused by CASSANDRA-18543.",N/A,"3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0, 5.1"
CASSANDRA-18838,make stop-server shell out of the box,,N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0"
CASSANDRA-18824,Backport CASSANDRA-16418: Cleanup behaviour during node decommission caused missing replica,"Node decommission triggers data transfer to other nodes. While this transfer is in progress,
receiving nodes temporarily hold token ranges in a pending state. However, the cleanup process currently doesn't consider these pending ranges when calculating token ownership.
As a consequence, data that is already stored in sstables gets inadvertently cleaned up.

STR:
 * Create two node cluster
 * Create keyspace with RF=1
 * Insert sample data (assert data is available when querying both nodes)
 * Start decommission process of node 1
 * Start running cleanup in a loop on node 2 until decommission on node 1 finishes
 * Verify of all rows are in the cluster - it will fail as the previous step removed some of the rows

It seems that the cleanup process does not take into account the pending ranges, it uses only the local ranges - [https://github.com/apache/cassandra/blob/caad2f24f95b494d05c6b5d86a8d25fbee58d7c2/src/java/org/apache/cassandra/db/compaction/CompactionManager.java#L466].

There are two solutions to the problem.

One would be to change the cleanup process in a way that it start taking pending ranges into account. Even thought it might sound tempting at first it will require involving changes and a lot of testing effort.

Alternatively we could interrupt/prevent the cleanup process from running when any pending range on a node is detected. That sounds like a reasonable alternative to the problem and something that is relatively easy to implement.

The bug has been already fixed in 4.x with CASSANDRA-16418, the goal of this ticket is to backport it to 3.x.",N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.4, 5.0-rc1, 5.0, 5.1"
CASSANDRA-18818,Add cqlshrc.sample and credentials.sample into Debian package,RPM package contains these two files buy DEB does not. Debian users suffer from not having these files available so they need to craft them completely from scratch. ,N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0"
CASSANDRA-18807,Missing license info and headers identified in 5.0-alpha1 candidate,"LICENSE.txt is missing
python-smhasher
OrderedDict
MagnetoDB
java-driver

LICENSE.txt has mistakes around
Chronicle-Bytes
Guava
PATRICIA Trie

pylib docker files needed license headers

ref: https://lists.apache.org/thread/3db8n220qdnpx3jd40pwbtlf14w1b6m7",N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha1, 5.0, 5.1"
CASSANDRA-18803,Refactor validation logic in StorageService.rebuild,This is a follow-up ticket of CASSANDRA-14319,N/A,"3.0.30, 3.11.17, 4.0.12, 4.1.4, 5.0-alpha1, 5.0"
CASSANDRA-18767,tablestats should show speculative retries,"NodeProbe makes [provisions|https://github.com/apache/cassandra/blob/trunk/src/java/org/apache/cassandra/tools/NodeProbe.java#L1921] for it, but it is never used later.",N/A,"3.0.30, 3.11.16, 4.0.12, 5.0-alpha1, 5.0, 5.1"
CASSANDRA-18760,Backport CASSANDRA-16905 to older branches,"Recently hit an un-recoverable situation in Cassandra 4.0.10 after dropping a 'map' column and adding it back as a 'blob', which caused corruption that neither offline nor online scrub could fix.
When dropping a 'blob' column and attempting to add it back as a 'map' type, the operation is blocked with:

{code:java}
InvalidRequest: Error from server: code=2200 [Invalid query] message=""Cannot re-add previously dropped column 'col1' of type map<int, tinyint>, incompatible with previous type blob""
{code}

We need to do the same going from 'map' to 'blob' to avoid this potentially very bad scenario that can cause data loss.
",N/A,"3.0.30, 3.11.16, 4.0.12"
CASSANDRA-18756,TimeWindowCompactionStrategy with unsafe_aggressive_sstable_expiration keeps overlaping SSTable references,"When {{unsafe_aggressive_sstable_expiration}} is turned on, TWCS should not create or maintain an iterator of overlapping sstables. However, because {{TimeWindowCompactionController}} inherits from {{CompactionController}} and only sets {{ignoreOverlaps}} after the base class has constructed the overlap iterator, it ends up making an overlap iterator and then never updating it.

The end result is that such a compaction keeps references to lots of and likely _all_ other SSTables on the node and thus delays the deletion of obsolete ones by hours or even days.",N/A,"3.11.17, 4.0.12, 4.1.4, 5.0-alpha2, 5.0, 5.1"
CASSANDRA-18751,Fix Requires for Java for RPM packages,"We have to change Requires in redhat/cassandra.spec to

java-1.8.0 for 3.0 and 3.11
(java-1.8.0 or java-11) for 4.0. and 4.1
(java-11 or java-17) for 5.0 and trunk

noboolean would contain only java-1.8.0 and java-11 respectively where applicable.",N/A,"3.0.30, 3.11.16, 4.0.12, 4.1.4, 5.0-alpha1, 5.0"
CASSANDRA-18745,cqlsh should warn on server version mismatch,"When cqlsh is used against a different version of the server than the one that it shipped with, it should emit a warning so that users aren't confused when some things don't work correctly.",N/A,"3.0.30, 3.11.16, 4.0.12, 4.1.4, 5.0-alpha1, 5.0, 5.1"
